User-ID,ISBN,Book-Rating
276847,3404148576,8
276847,3404921178,7
276847,3423071516,10
276847,3442413508,10
276847,3442435773,8
276847,3442437717,7
276847,3442441080,10
276847,3442444020,8
276847,3442446414,10
276847,3442448530,7
276847,3442449820,9
276847,347354034X,7
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,359621078X,9
276847,360893541X,10
276847,3608935428,10
276847,3608935436,10
276964,0312169817,6
276964,0345348672,10
276964,0345354621,10
276964,0345435036,10
276964,0425104273,9
276964,0440218667,5
276964,0440220602,9
276964,0515131520,6
276964,0684867621,8
276964,0812550307,10
276964,0843949163,8
276964,0886773741,7
276964,0886774802,8
276964,0886774829,8
276964,0886775426,9
276964,0886775957,10
277157,0312331754,7
277157,0312979517,5
277157,0316154059,5
277157,0345450175,6
277157,0345452550,7
277157,0399146504,7
277157,0399146687,7
277157,0399147101,7
277157,0399148337,6
277157,0399148639,6
277157,0399148728,8
277157,0399150811,5
277157,0399151451,7
277157,0425183181,5
277157,0671024094,7
277157,0679450408,6
277157,0684846608,5
277157,074320607X,7
277157,0743486226,7
277157,0812571118,5
277203,030700645X,8
277203,0307127923,8
277203,0307302016,8
277203,0307302636,8
277203,0307987655,8
277203,039480001X,9
277203,0394800028,9
277203,0394800184,9
277203,039480029X,8
277203,039480967X,8
277203,0590442791,9
277203,059044297X,9
277203,0590629719,10
277203,0717283194,8
277203,0717283208,8
277203,0717283364,8
277203,0717283372,8
277203,0717284832,8
277203,1562826468,9
277523,0312289723,10
277523,0316603570,10
277523,0316693200,10
277523,0345452577,10
277523,0345452593,10
277523,0385336322,10
277523,0385336357,10
277523,0385508042,10
277523,0385510438,10
277523,039915180X,10
277523,0399151877,10
277523,0440241537,10
277523,0446530891,10
277523,0446613843,10
277523,0515133302,10
277523,055308576X,10
277523,0553801589,10
277523,0553803409,10
277523,0671886665,10
277523,0684835983,10
277523,0743206045,10
277523,1558744150,10
277629,0374184232,4
277629,0380005166,7
277629,0380018179,8
277629,0385472943,8
277629,0399132414,9
277629,0425116840,6
277629,0440241073,8
277629,0671000306,7
277629,0671000314,8
277629,0671026682,7
277629,0671795740,9
277639,0345335058,6
277639,034539657X,8
277639,0380731851,6
277639,0425071014,6
277639,0425142485,7
277639,0425147363,8
277639,042516098X,5
277639,0440211727,8
277639,0440214041,9
277639,0440430712,7
277639,0446794031,8
277639,044921852X,7
277639,0451085108,9
277639,0451162145,8
277639,0553297260,8
277639,0553579754,7
277639,0671416367,7
277639,0812543262,8
277744,0061031550,8
277744,0312421273,7
277744,0345339681,3
277744,0345377443,8
277744,0385491328,8
277744,0440235162,5
277744,0609806564,8
277744,0679416498,10
277744,0887307876,9
277744,0929634063,10
277744,1551660717,8
277945,0312974256,6
277945,0312983301,6
277945,0380785218,2
277945,0446610550,7
277945,0451203771,8
277945,0515121843,7
277945,051512317X,7
277945,0515124214,7
277945,0515134384,7
277945,0515136263,7
277945,0515136379,7
277945,0515136530,7
277945,0515137111,8
277965,0316789089,5
277965,0374190666,10
277965,0385484518,10
277965,0399141464,8
277965,0399145087,7
277965,0446526126,8
277965,0486285537,9
277965,0679457526,9
277965,0684808943,8
277965,0684874350,10
277965,0688151981,9
277965,0743204735,9
277965,0761107363,10
277965,0786866845,9
277965,0786881852,7
277965,0895261901,10
278026,0060572965,9
278026,0061009059,8
278026,0061031410,8
278026,0061094129,8
278026,0312983433,8
278026,0345440064,8
278026,0380731851,5
278026,0380820889,8
278026,038533558X,9
278026,0399142649,8
278026,0440221048,8
278026,0446527041,8
278026,0446531588,5
278026,0446610607,7
278026,0446612510,8
278026,0449006522,8
278026,0449219364,6
278026,0449221512,5
278026,0449227545,3
278026,0451179153,8
278026,0451179897,6
278026,0451202473,7
278026,0451204301,8
278026,0451206525,8
278026,0515125490,8
278026,0515129038,5
278026,0515130389,8
278026,0515135968,8
278026,0553582364,6
278026,0671001795,8
278026,0684810387,8
278026,068815333X,7
278026,0743206045,7
278026,0786889667,5
278026,1551667517,7
278026,1551669625,6
278137,0060002492,7
278137,0061057894,9
278137,0140067647,9
278137,0345337662,7
278137,0373115431,8
278137,0380600129,8
278137,0380708655,6
278137,0425065553,8
278137,0440940001,8
278137,0446606812,7
278137,0449209830,8
278137,0515094978,8
278137,055325698X,8
278137,0553287532,9
278137,0670894508,4
278137,0671434225,8
278137,0671525808,9
278137,0671745093,7
278137,0684846675,8
278137,0804106304,8
278137,0812533518,8
278137,1556611536,9
278137,1558744150,9
278137,1558745017,8
278188,0156005891,8
278188,0316171565,7
278188,0373218192,7
278188,0373244487,6
278188,0373272898,6
278188,0373441762,4
278188,0373441851,6
278188,0373484003,7
278188,0440122090,4
278188,044022103X,8
278188,0440223571,9
278188,0440225701,9
278188,0446603589,9
278188,0515124621,8
278188,0590433865,7
278188,0671644459,7
278188,0671644475,5
278188,0743410181,6
278188,0778320065,8
278188,0778320286,8
278188,080410946X,8
278188,1551661586,6
278188,1551665344,7
278188,1551666960,8
278194,0020532105,10
278194,0060926317,8
278194,0060958014,7
278194,0140280553,5
278194,0156007819,3
278194,0156011042,7
278194,0345423135,9
278194,0375705619,5
278194,0385334923,7
278194,0385498802,4
278194,0440212723,9
278194,0440241537,7
278194,0451209907,5
278194,0452284449,8
278194,051512219X,4
278194,0553582364,6
278194,0671683993,8
278194,0688177859,9
278194,0802139256,6
278202,0060198346,3
278202,014025448X,2
278202,0312252617,4
278202,0385316925,3
278202,0385319568,9
278202,0385324057,3
278202,0385334710,10
278202,0385497466,3
278202,0399145060,5
278202,0399148019,3
278202,0446527017,1
278202,0446527130,8
278202,0553104136,4
278202,0671510126,10
278202,0671786458,7
278202,0743206029,8
278202,0743412761,4
278221,0440216745,7
278221,0446613436,7
278221,0553582755,9
278221,0671027123,8
278221,0743460529,8
278221,0804106304,9
278221,0840776381,8
278221,0871237954,10
278221,1556611188,9
278221,1556611536,9
278221,1556612257,10
278221,1576738469,7
278356,0060163704,9
278356,006091646X,9
278356,0140167153,8
278356,0312265859,7
278356,0312965338,8
278356,0374270325,9
278356,0439064872,8
278356,0439136369,10
278356,0439139600,10
278356,043935806X,10
278356,0446378445,6
278356,0671016768,8
278356,0688111289,7
278356,0786868414,9
278356,0884270610,9
278390,0375409440,8
278390,0380730847,7
278390,0385313667,7
278390,0399147195,7
278390,0425182908,4
278390,0440236053,7
278390,044661257X,8
278390,0553569058,9
278390,0671027360,7
278390,0671683993,10
278390,0688152449,7
278390,080410753X,9
278418,0312970234,7
278418,0345300742,8
278418,0345352459,7
278418,0345369335,7
278418,0373122772,5
278418,0380710870,8
278418,038097391X,5
278418,0394800168,10
278418,0394820371,8
278418,0399134883,8
278418,042513525X,5
278418,0425140032,5
278418,0425178102,7
278418,042518630X,7
278418,0440184622,7
278418,0440206561,5
278418,0440207622,7
278418,0440479002,9
278418,0451173392,6
278418,0515130389,8
278418,0515131229,8
278418,0553131834,9
278418,0553282700,5
278418,0553297988,6
278418,0553299352,5
278418,0590466178,5
278418,0671017128,5
278418,0671019961,9
278418,0671502522,7
278418,0671556843,6
278418,0671721623,5
278418,0671775715,6
278418,0786862572,5
278418,0812504321,5
278418,0812523466,5
278418,0886775981,5
278418,0898151899,9
278535,0061094129,10
278535,038079943X,8
278535,0425178765,8
278535,0425182878,9
278535,0440221595,7
278535,0446605484,10
278535,0446610038,10
278535,0446611212,9
278535,0449003787,9
278535,0449219461,8
278535,0553213180,6
278535,0553269216,8
278582,0312980140,7
278582,0312983298,3
278582,0312983867,7
278582,0312990456,5
278582,0312991460,6
278582,0345348176,8
278582,0345350499,10
278582,0345440064,8
278582,0425163717,7
278582,0425190927,7
278582,0425191583,8
278582,0441478123,10
278582,0449003183,8
278582,0449206874,8
278582,0449217213,8
278582,0449221512,8
278582,0451202503,10
278582,0515136557,8
278582,0671001795,8
278582,0671877445,8
278582,1400034779,10
278633,0060160713,5
278633,0060987561,10
278633,0140244824,7
278633,014028009X,2
278633,0140296298,7
278633,0142000205,7
278633,0316096199,8
278633,0316666343,9
278633,0316899984,7
278633,0375703063,7
278633,0385512147,7
278633,0425178900,8
278633,0439324599,9
278633,0440226430,9
278633,0440514428,9
278633,0446679593,8
278633,0449907481,6
278633,0451163524,5
278633,0452283221,5
278633,0515131083,10
278633,0553278355,8
278633,0553570870,8
278633,0671028014,5
278633,0671038184,8
278633,0671735594,9
278633,0679425268,9
278633,0684814994,10
278633,0688162827,9
278633,0688170528,8
278633,0743225082,7
278633,1882723007,8
278843,0060173289,9
278843,0060517794,7
278843,014028009X,8
278843,0142000205,9
278843,0385260075,8
278843,0399146431,9
278843,0440211263,7
278843,0553274503,8
278843,059035342X,8
278843,0679412956,8
278843,0767902890,9
278843,0786881852,8
243,0060915544,10
243,0060977493,7
243,0316601950,9
243,0316776963,9
243,0316899984,7
243,0375400117,10
243,0385316895,6
243,0385720106,7
243,0425163407,9
243,044023722X,7
243,0446364800,9
243,0446606383,6
243,0449006522,6
243,0553580388,8
243,0786863986,5
243,155874262X,5
254,0060934700,9
254,0060976977,7
254,0064471047,7
254,0066238501,5
254,0142001740,9
